video,keyword,rank,Country,Group
"(preferred video not found in top results)",pixel,0,USA,
"(nothing found in top results)",google,0,USA,
"Google Pixel: Why it might be a big deal","google might deal",1,USA,Third
"(preferred video not found in top results)","samsung galaxy s7",0,USA,Third
"(nothing found in top results)",a,0,USA,First
"(nothing found in top results)",q,0,USA,First
"(nothing found in top results)",w,0,USA,First
"(nothing found in top results)",r,0,USA,First
"(nothing found in top results)",g,0,USA,First
"(nothing found in top results)",c,0,USA,First
"(nothing found in top results)",x,0,USA,First
"(nothing found in top results)",g,0,USA,First
"(nothing found in top results)",j,0,USA,First
"(nothing found in top results)",yj,0,USA,First
"(nothing found in top results)",uku,0,USA,"new group"
"(nothing found in top results)",th,0,USA,"new group"
"(nothing found in top results)",poii,0,USA,"new group"
"(nothing found in top results)",hntbt,0,USA,"new group"
"(nothing found in top results)",kolo,0,USA,"new group"
"(nothing found in top results)",loko,0,USA,First
"(nothing found in top results)",oklo,0,USA,First
"(nothing found in top results)",olko,0,USA,First
"(nothing found in top results)",molllk,0,USA,First
"(nothing found in top results)",olkmolk,0,USA,First
"(nothing found in top results)",56295wd,0,USA,First
"(nothing found in top results)",259oo,0,USA,First
"(nothing found in top results)",92vvv,0,USA,First
"(nothing found in top results)",dwadaw,0,USA,First
"(nothing found in top results)",qwdqwx,0,USA,Third
"(nothing found in top results)",wwwq,0,USA,Third
"(nothing found in top results)",ccvvb,0,USA,Second
"(nothing found in top results)",wwqrt,0,USA,Second
"(nothing found in top results)",lol,0,USA,First
"(nothing found in top results)",wswd,0,USA,First
"(nothing found in top results)",oloox,0,USA,First
"(nothing found in top results)",jok,0,7,First
"(nothing found in top results)",jok,0,7,First
"(nothing found in top results)",jok,0,7,First
"(nothing found in top results)",jvhkjf,0,4,First
